"2026-07-20","Dedupe degenerate kinetic model library and fix M2 fitting guesses"
"2026-07-14","fix: segment DVS stages on target RH instead of noisy measured sensor"
"2026-07-14","feat: upgrade M1 capacity logic and draft M2 validation script"
"2026-07-03","Refactor DVS segmentation engine to use dynamic measured humidity tracking and noise filtering"
"2026-07-02","Fix sample label swap and implement stable window equilibrium capacity solver"
"2026-06-30","Complete M1 validation pipeline and fix multi-sample baseline tracking"
"2026-06-27","Replace manual engineering log with standard repository architecture map"
"2026-06-27","Refactor parser to return nested dictionary package for multi-sheet parsing"
"2026-06-26","Comprehensive pipeline checkpoint: all scripts, data indices, and notebooks synced"
"2026-06-26","Add time-series stage segmentation logic to ingestion notebook"
"2026-06-25","Refactor ingestion module with top-down keyword search and .xls xlrd support"
"2026-06-24","Initial commit: Repo structure setup on C drive"
